date,location,value
1990-04,Asian Civilisations Museum,na
1990-04,National Museum Of Singapore,na
1990-04,Singapore Art Museum,na
1990-04,Singapore Philatelic Museum,na
1990-04,The Peranakan Museum,na
1990-04,Science Centre Singapore,41.8
1990-04,Jurong Birdpark,na
1990-04,Night Safari,na
1990-04,River Safari,na
1990-04,Singapore Zoological Gardens,100.9
1990-04,Chinese/japanese Gardens,28.8
1990-05,Asian Civilisations Museum,na
1990-05,National Museum Of Singapore,na
1990-05,Singapore Art Museum,na
1990-05,Singapore Philatelic Museum,na
1990-05,The Peranakan Museum,na
1990-05,Science Centre Singapore,56.3
1990-05,Jurong Birdpark,na
1990-05,Night Safari,na
1990-05,River Safari,na
1990-05,Singapore Zoological Gardens,115.6
1990-05,Chinese/japanese Gardens,26.1
1990-06,Asian Civilisations Museum,na
1990-06,National Museum Of Singapore,na
1990-06,Singapore Art Museum,na
1990-06,Singapore Philatelic Museum,na
1990-06,The Peranakan Museum,na
1990-06,Science Centre Singapore,84.1
1990-06,Jurong Birdpark,na
1990-06,Night Safari,na
1990-06,River Safari,na
1990-06,Singapore Zoological Gardens,107.3
1990-06,Chinese/japanese Gardens,22.7
1990-07,Asian Civilisations Museum,na
1990-07,National Museum Of Singapore,na
1990-07,Singapore Art Museum,na
1990-07,Singapore Philatelic Museum,na
1990-07,The Peranakan Museum,na
1990-07,Science Centre Singapore,40.4
1990-07,Jurong Birdpark,na
1990-07,Night Safari,na
1990-07,River Safari,na
1990-07,Singapore Zoological Gardens,98.7
1990-07,Chinese/japanese Gardens,23.9
1990-08,Asian Civilisations Museum,na
1990-08,National Museum Of Singapore,na
1990-08,Singapore Art Museum,na
1990-08,Singapore Philatelic Museum,na
1990-08,The Peranakan Museum,na
1990-08,Science Centre Singapore,44.6
1990-08,Jurong Birdpark,na
1990-08,Night Safari,na
1990-08,River Safari,na
1990-08,Singapore Zoological Gardens,102.4
1990-08,Chinese/japanese Gardens,27.2
1990-09,Asian Civilisations Museum,na
1990-09,National Museum Of Singapore,na
1990-09,Singapore Art Museum,na
1990-09,Singapore Philatelic Museum,na
1990-09,The Peranakan Museum,na
1990-09,Science Centre Singapore,30.2
1990-09,Jurong Birdpark,na
1990-09,Night Safari,na
1990-09,River Safari,na
1990-09,Singapore Zoological Gardens,103.2
1990-09,Chinese/japanese Gardens,112.7
1990-10,Asian Civilisations Museum,na
1990-10,National Museum Of Singapore,na
1990-10,Singapore Art Museum,na
1990-10,Singapore Philatelic Museum,na
1990-10,The Peranakan Museum,na
1990-10,Science Centre Singapore,27.2
1990-10,Jurong Birdpark,na
1990-10,Night Safari,na
1990-10,River Safari,na
1990-10,Singapore Zoological Gardens,113.8
1990-10,Chinese/japanese Gardens,106.9
1990-11,Asian Civilisations Museum,na
1990-11,National Museum Of Singapore,na
1990-11,Singapore Art Museum,na
1990-11,Singapore Philatelic Museum,na
1990-11,The Peranakan Museum,na
1990-11,Science Centre Singapore,55.4
1990-11,Jurong Birdpark,na
1990-11,Night Safari,na
1990-11,River Safari,na
1990-11,Singapore Zoological Gardens,174.3
1990-11,Chinese/japanese Gardens,22.8
1990-12,Asian Civilisations Museum,na
1990-12,National Museum Of Singapore,28.1
1990-12,Singapore Art Museum,na
1990-12,Singapore Philatelic Museum,na
1990-12,The Peranakan Museum,na
1990-12,Science Centre Singapore,35.7
1990-12,Jurong Birdpark,na
1990-12,Night Safari,na
1990-12,River Safari,na
1990-12,Singapore Zoological Gardens,153.8
1990-12,Chinese/japanese Gardens,20.4
1991-01,Asian Civilisations Museum,na
1991-01,National Museum Of Singapore,19.1
1991-01,Singapore Art Museum,na
1991-01,Singapore Philatelic Museum,na
1991-01,The Peranakan Museum,na
1991-01,Science Centre Singapore,20.2
1991-01,Jurong Birdpark,na
1991-01,Night Safari,na
1991-01,River Safari,na
1991-01,Singapore Zoological Gardens,62.6
1991-01,Chinese/japanese Gardens,13.3
1991-02,Asian Civilisations Museum,na
1991-02,National Museum Of Singapore,18.4
1991-02,Singapore Art Museum,na
1991-02,Singapore Philatelic Museum,na
1991-02,The Peranakan Museum,na
1991-02,Science Centre Singapore,28.8
1991-02,Jurong Birdpark,na
1991-02,Night Safari,na
1991-02,River Safari,na
1991-02,Singapore Zoological Gardens,93.3
1991-02,Chinese/japanese Gardens,33.3
1991-03,Asian Civilisations Museum,na
1991-03,National Museum Of Singapore,27.4
1991-03,Singapore Art Museum,na
1991-03,Singapore Philatelic Museum,na
1991-03,The Peranakan Museum,na
1991-03,Science Centre Singapore,61.5
1991-03,Jurong Birdpark,na
1991-03,Night Safari,na
1991-03,River Safari,na
1991-03,Singapore Zoological Gardens,95.5
1991-03,Chinese/japanese Gardens,14.9
1991-04,Asian Civilisations Museum,na
1991-04,National Museum Of Singapore,21.7
1991-04,Singapore Art Museum,na
1991-04,Singapore Philatelic Museum,na
1991-04,The Peranakan Museum,na
1991-04,Science Centre Singapore,37.1
1991-04,Jurong Birdpark,na
1991-04,Night Safari,na
1991-04,River Safari,na
1991-04,Singapore Zoological Gardens,81.5
1991-04,Chinese/japanese Gardens,14.8
1991-05,Asian Civilisations Museum,na
1991-05,National Museum Of Singapore,16.3
1991-05,Singapore Art Museum,na
1991-05,Singapore Philatelic Museum,na
1991-05,The Peranakan Museum,na
1991-05,Science Centre Singapore,68.4
1991-05,Jurong Birdpark,na
1991-05,Night Safari,na
1991-05,River Safari,na
1991-05,Singapore Zoological Gardens,95.1
1991-05,Chinese/japanese Gardens,12.9
1991-06,Asian Civilisations Museum,na
1991-06,National Museum Of Singapore,20.5
1991-06,Singapore Art Museum,na
1991-06,Singapore Philatelic Museum,na
1991-06,The Peranakan Museum,na
1991-06,Science Centre Singapore,44.8
1991-06,Jurong Birdpark,na
1991-06,Night Safari,na
1991-06,River Safari,na
1991-06,Singapore Zoological Gardens,116
1991-06,Chinese/japanese Gardens,16.4
1991-07,Asian Civilisations Museum,na
1991-07,National Museum Of Singapore,17.1
1991-07,Singapore Art Museum,na
1991-07,Singapore Philatelic Museum,na
1991-07,The Peranakan Museum,na
1991-07,Science Centre Singapore,37.8
1991-07,Jurong Birdpark,na
1991-07,Night Safari,na
1991-07,River Safari,na
1991-07,Singapore Zoological Gardens,73.8
1991-07,Chinese/japanese Gardens,31.5
1991-08,Asian Civilisations Museum,na
1991-08,National Museum Of Singapore,20.8
1991-08,Singapore Art Museum,na
1991-08,Singapore Philatelic Museum,na
1991-08,The Peranakan Museum,na
1991-08,Science Centre Singapore,32.5
1991-08,Jurong Birdpark,na
1991-08,Night Safari,na
1991-08,River Safari,na
1991-08,Singapore Zoological Gardens,99.6
1991-08,Chinese/japanese Gardens,19.5
1991-09,Asian Civilisations Museum,na
1991-09,National Museum Of Singapore,19.2
1991-09,Singapore Art Museum,na
1991-09,Singapore Philatelic Museum,na
1991-09,The Peranakan Museum,na
1991-09,Science Centre Singapore,41
1991-09,Jurong Birdpark,na
1991-09,Night Safari,na
1991-09,River Safari,na
1991-09,Singapore Zoological Gardens,110.7
1991-09,Chinese/japanese Gardens,164.8
1991-10,Asian Civilisations Museum,na
1991-10,National Museum Of Singapore,20
1991-10,Singapore Art Museum,na
1991-10,Singapore Philatelic Museum,na
1991-10,The Peranakan Museum,na
1991-10,Science Centre Singapore,41.2
1991-10,Jurong Birdpark,na
1991-10,Night Safari,na
1991-10,River Safari,na
1991-10,Singapore Zoological Gardens,69.8
1991-10,Chinese/japanese Gardens,15.1
1991-11,Asian Civilisations Museum,na
1991-11,National Museum Of Singapore,34.2
1991-11,Singapore Art Museum,na
1991-11,Singapore Philatelic Museum,na
1991-11,The Peranakan Museum,na
1991-11,Science Centre Singapore,90.1
1991-11,Jurong Birdpark,na
1991-11,Night Safari,na
1991-11,River Safari,na
1991-11,Singapore Zoological Gardens,148.6
1991-11,Chinese/japanese Gardens,34.3
1991-12,Asian Civilisations Museum,na
1991-12,National Museum Of Singapore,21
1991-12,Singapore Art Museum,na
1991-12,Singapore Philatelic Museum,na
1991-12,The Peranakan Museum,na
1991-12,Science Centre Singapore,39.7
1991-12,Jurong Birdpark,na
1991-12,Night Safari,na
1991-12,River Safari,na
1991-12,Singapore Zoological Gardens,118
1991-12,Chinese/japanese Gardens,24.7
1992-01,Asian Civilisations Museum,na
1992-01,National Museum Of Singapore,15.5
1992-01,Singapore Art Museum,na
1992-01,Singapore Philatelic Museum,na
1992-01,The Peranakan Museum,na
1992-01,Science Centre Singapore,20.6
1992-01,Jurong Birdpark,na
1992-01,Night Safari,na
1992-01,River Safari,na
1992-01,Singapore Zoological Gardens,69.5
1992-01,Chinese/japanese Gardens,10.7
1992-02,Asian Civilisations Museum,na
1992-02,National Museum Of Singapore,23.9
1992-02,Singapore Art Museum,na
1992-02,Singapore Philatelic Museum,na
1992-02,The Peranakan Museum,na
1992-02,Science Centre Singapore,31.8
1992-02,Jurong Birdpark,na
